Period (hr)  , n   , m   , Binm_Re (nT)            , Binm_Im (nT)            
10.1771      , 1   , -1  , 24.444803531336547      , -0.7840492572274276     
10.1771      , 1   , 0   , 0.11862892767577408     , 0.1850721088867301      
10.1771      , 1   , 1   , -26.463812688992537     , 0.9980762910243925      
10.1771      , 2   , -2  , -0.20635294103113533    , 0.5970979606779943      
10.1771      , 2   , -1  , -0.004326065612381717   , 0.0009004122073897785   
10.1771      , 2   , 0   , 0.0886491763842351      , -0.2589674600835216     
10.1771      , 2   , 1   , 0.004326065612381717    , -0.0009004122073897785  
10.1771      , 2   , 2   , -0.2197946086778598     , 0.6477906335558071      
10.1771      , 3   , -3  , 0.0                     , 0.0                     
10.1771      , 3   , -2  , 0.0                     , 0.0                     
10.1771      , 3   , -1  , 0.0                     , 0.0                     
10.1771      , 3   , 0   , 0.0                     , 0.0                     
10.1771      , 3   , 1   , 0.0                     , 0.0                     
10.1771      , 3   , 2   , 0.0                     , 0.0                     
10.1771      , 3   , 3   , 0.0                     , 0.0                     
