Period (hr)  , n   , m   , Binm_Re (nT)            , Binm_Im (nT)            
11.23301     , 1   , -1  , -62.52786950474827      , -64.39767821635394      
11.23301     , 1   , 0   , 3.5298759933453026      , -14.163654158766017     
11.23301     , 1   , 1   , 117.54127848808646      , 146.1648402326615       
11.23301     , 2   , -2  , 0.0                     , 0.0                     
11.23301     , 2   , -1  , 0.0                     , 0.0                     
11.23301     , 2   , 0   , 0.0                     , 0.0                     
11.23301     , 2   , 1   , 0.0                     , 0.0                     
11.23301     , 2   , 2   , 0.0                     , 0.0                     
11.23301     , 3   , -3  , 0.0971272027393459      , 0.09178250988077995     
11.23301     , 3   , -2  , -0.007502001460881166   , 0.04006701785507385     
11.23301     , 3   , -1  , 0.27562764298982767     , 0.24482522406829496     
11.23301     , 3   , 0   , -0.000330990811321968   , 0.0016870673693606627   
11.23301     , 3   , 1   , -0.578999707921506      , -0.642923833216114      
11.23301     , 3   , 2   , -0.007502001460881166   , 0.04006701785507385     
11.23301     , 3   , 3   , -0.16320417141926633    , -0.17842081398358914    
11.23301     , 4   , -4  , 0.0                     , 0.0                     
11.23301     , 4   , -3  , 0.0                     , 0.0                     
11.23301     , 4   , -2  , 0.0                     , 0.0                     
11.23301     , 4   , -1  , 0.0                     , 0.0                     
11.23301     , 4   , 0   , 0.0                     , 0.0                     
11.23301     , 4   , 1   , 0.0                     , 0.0                     
11.23301     , 4   , 2   , 0.0                     , 0.0                     
11.23301     , 4   , 3   , 0.0                     , 0.0                     
11.23301     , 4   , 4   , 0.0                     , 0.0                     
11.23301     , 5   , -5  , 0.04980277438657913     , 0.04238911270059485     
11.23301     , 5   , -4  , -0.002158439157485086   , 0.014342997845866854    
11.23301     , 5   , -3  , -0.015529904408461748   , -0.015940965570197876   
11.23301     , 5   , -2  , -0.0025237810956697214  , 0.016796502166028397    
11.23301     , 5   , -1  , 0.19162618876560758     , 0.163100634693953       
11.23301     , 5   , 0   , -0.004866946278687058   , 0.03234124054369622     
11.23301     , 5   , 1   , -0.36668016660423897    , -0.3763858268134421     
11.23301     , 5   , 2   , -0.0025237810956697214  , 0.016796502166028397    
11.23301     , 5   , 3   , 0.008115891353621223    , 0.006907756394935728    
11.23301     , 5   , 4   , -0.002158439157485086   , 0.014342997845866854    
11.23301     , 5   , 5   , -0.09529850657188307    , -0.09782096349066566    
