Period (hr)  , n   , m   , Binm_Re (nT)            , Binm_Im (nT)            
11.23301     , 1   , -1  , -69.3021691876166       , -50.206647075218044     
11.23301     , 1   , 0   , 1.078136180635319       , -13.862672777950154     
11.23301     , 1   , 1   , 134.31375756947884      , 118.01652923902029      
11.23301     , 2   , -2  , 0.0                     , 0.0                     
11.23301     , 2   , -1  , 0.0                     , 0.0                     
11.23301     , 2   , 0   , 0.0                     , 0.0                     
11.23301     , 2   , 1   , 0.0                     , 0.0                     
11.23301     , 2   , 2   , 0.0                     , 0.0                     
11.23301     , 3   , -3  , 0.06303361748371172     , 0.13487963537789519     
11.23301     , 3   , -2  , -0.024173332870107336   , 0.03843421171953407     
11.23301     , 3   , -1  , 0.18518226802510626     , 0.36783052580756154     
11.23301     , 3   , 0   , -0.0011425119579618094  , 0.0016677653286158842   
11.23301     , 3   , 1   , -0.33608149463234555    , -0.9058808463599651     
11.23301     , 3   , 2   , -0.024173332870107336   , 0.03843421171953407     
11.23301     , 3   , 3   , -0.09602160622910752    , -0.2516558854833968     
11.23301     , 4   , -4  , 0.0                     , 0.0                     
11.23301     , 4   , -3  , 0.0                     , 0.0                     
11.23301     , 4   , -2  , 0.0                     , 0.0                     
11.23301     , 4   , -1  , 0.0                     , 0.0                     
11.23301     , 4   , 0   , 0.0                     , 0.0                     
11.23301     , 4   , 1   , 0.0                     , 0.0                     
11.23301     , 4   , 2   , 0.0                     , 0.0                     
11.23301     , 4   , 3   , 0.0                     , 0.0                     
11.23301     , 4   , 4   , 0.0                     , 0.0                     
11.23301     , 5   , -5  , 0.0406950025764472      , 0.05260229592642436     
11.23301     , 5   , -4  , -0.00514834734872294    , 0.013822188893208466    
11.23301     , 5   , -3  , -0.012120266722541819   , -0.019112567964620433   
11.23301     , 5   , -2  , -0.006005259066664307   , 0.01616979218665379     
11.23301     , 5   , -1  , 0.15658220534060505     , 0.20239791081634403     
11.23301     , 5   , 0   , -0.011608726557504844   , 0.03116689695135656     
11.23301     , 5   , 1   , -0.28617442221266426    , -0.4512712648561647     
11.23301     , 5   , 2   , -0.006005259066664307   , 0.01616979218665379     
11.23301     , 5   , 3   , 0.006631683146447042    , 0.008572103139798922    
11.23301     , 5   , 4   , -0.00514834734872294    , 0.013822188893208466    
11.23301     , 5   , 5   , -0.07437542997893672    , -0.11728334804105556    
